"train_method (WP, NP or backprop)",d (n_ch),n_class,seed,num of iterations to 95% accurate Gradient estimation
weight,1,10,1,882
node,1,10,1,818
weight,1,10,2,874
node,1,10,2,447
weight,1,10,3,1400
node,1,10,3,693
weight,1,10,4,863
node,1,10,4,455
weight,1,10,5,682
node,1,10,5,721
weight,1,10,6,922
node,1,10,6,684
weight,1,10,7,1200
node,1,10,7,686
weight,1,10,8,1600
node,1,10,8,1200
weight,1,10,9,1200
node,1,10,9,928
weight,1,10,10,1700
node,1,10,10,1200
weight,2,10,1,3700
node,2,10,1,4100
weight,2,10,2,3100
node,2,10,2,3700
weight,2,10,3,4400
node,2,10,3,3500
weight,2,10,4,4400
node,2,10,4,2500
weight,2,10,5,4100
node,2,10,5,2800
weight,2,10,6,4900
node,2,10,6,2000
weight,2,10,7,5000
node,2,10,7,2800
weight,2,10,8,4000
node,2,10,8,1400
weight,2,10,9,5400
node,2,10,9,2700
weight,2,10,10,4100
node,2,10,10,2300
weight,4,10,1,15700
node,4,10,1,6000
weight,4,10,2,16500
node,4,10,2,10100
weight,4,10,3,18800
node,4,10,3,6400
weight,4,10,4,11700
node,4,10,4,10200
weight,4,10,5,13000
node,4,10,5,3200
weight,4,10,6,14000
node,4,10,6,4200
weight,4,10,7,13400
node,4,10,7,6000
weight,4,10,8,16400
node,4,10,8,8500
weight,4,10,9,13400
node,4,10,9,6200
weight,4,10,10,21000
node,4,10,10,10200
weight,8,10,1,68000
node,8,10,1,16300
weight,8,10,2,59700
node,8,10,2,19600
weight,8,10,3,66100
node,8,10,3,21100
weight,8,10,4,61400
node,8,10,4,17800
weight,8,10,5,70100
node,8,10,5,14600
weight,8,10,6,75900
node,8,10,6,16700
weight,8,10,7,62500
node,8,10,7,11800
weight,8,10,8,70200
node,8,10,8,17900
weight,8,10,9,71900
node,8,10,9,18600
weight,8,10,10,74300
node,8,10,10,18500
weight,16,10,1,307000
node,16,10,1,37800
weight,16,10,2,319900
node,16,10,2,38800
weight,16,10,3,297900
node,16,10,3,28900
weight,16,10,4,295600
node,16,10,4,51500
weight,16,10,5,230100
node,16,10,5,43200
weight,16,10,6,306000
node,16,10,6,40200
weight,16,10,7,244500
node,16,10,7,36800
weight,16,10,8,270700
node,16,10,8,37000
weight,16,10,9,285500
node,16,10,9,35100
weight,16,10,10,249300
node,16,10,10,41500
weight,32,10,1,1123800
node,32,10,1,84500
weight,32,10,2,1042300
node,32,10,2,100900
weight,32,10,3,1061100
node,32,10,3,79800
weight,32,10,4,1172500
node,32,10,4,74700
weight,32,10,5,1092100
node,32,10,5,86700
weight,32,10,6,1207900
node,32,10,6,94300
weight,32,10,7,1199800
node,32,10,7,109700
weight,32,10,8,1142700
node,32,10,8,128600
weight,32,10,9,1087600
node,32,10,9,85300
weight,32,10,10,1261900
node,32,10,10,99900
weight,64,10,1,4858100
node,64,10,1,195800
weight,64,10,2,4834600
node,64,10,2,169500
weight,64,10,3,4663600
node,64,10,3,193600
weight,64,10,4,4599700
node,64,10,4,216300
weight,64,10,5,4656500
node,64,10,5,210400
weight,64,10,6,4827000
node,64,10,6,179400
weight,64,10,7,4590900
node,64,10,7,179600
weight,64,10,8,4486000
node,64,10,8,178900
weight,64,10,9,4638200
node,64,10,9,158300
weight,64,10,10,5003000
node,64,10,10,182200
weight,32,8,1,1115900
node,32,8,1,107800
weight,32,8,2,977600
node,32,8,2,101200
weight,32,8,3,1153300
node,32,8,3,102400
weight,32,8,4,1189100
node,32,8,4,68800
node,32,8,5,85100
weight,32,6,1,1164300
node,32,6,1,81600
weight,32,6,2,1095100
node,32,6,2,81200
weight,32,6,3,968800
node,32,6,3,77900
weight,32,6,4,1160600
node,32,6,4,89700
node,32,6,5,105900
weight,32,4,1,1043000
node,32,4,1,111700
weight,32,4,2,1060600
node,32,4,2,102400
weight,32,4,3,1124600
node,32,4,3,136000
weight,32,4,4,1299400
node,32,4,4,127000
node,32,4,5,71600
weight,32,2,1,998000
node,32,2,1,59900
weight,32,2,2,1031000
node,32,2,2,129000
weight,32,2,3,1069100
node,32,2,3,149600
weight,32,2,4,1175700
node,32,2,4,103600
node,32,2,5,140300
