iteration,cos_a
1.0,0.07
2.0,0.1115
3.0,0.106
4.0,0.1168
5.0,0.1083
6.0,0.127
7.0,0.1297
8.0,0.1187
9.0,0.1354
10.0,0.1104
11.0,0.1251
12.0,0.1361
13.0,0.1477
14.0,0.1581
15.0,0.1706
16.0,0.1754
17.0,0.1722
18.0,0.1811
19.0,0.1882
20.0,0.1963
21.0,0.2035
22.0,0.2116
23.0,0.2114
24.0,0.2314
25.0,0.2452
26.0,0.2528
27.0,0.2677
28.0,0.2683
29.0,0.2716
30.0,0.2844
31.0,0.3062
32.0,0.3028
33.0,0.3069
34.0,0.3059
35.0,0.3125
36.0,0.3164
37.0,0.3269
38.0,0.3326
39.0,0.3352
40.0,0.3362
41.0,0.3308
42.0,0.3384
43.0,0.3387
44.0,0.3418
45.0,0.3455
46.0,0.348
47.0,0.3521
48.0,0.3412
49.0,0.3473
50.0,0.3578
51.0,0.3617
52.0,0.3657
53.0,0.3775
54.0,0.3824
55.0,0.3905
56.0,0.3992
57.0,0.4023
58.0,0.4034
59.0,0.3985
60.0,0.4013
61.0,0.4016
62.0,0.4027
63.0,0.4024
64.0,0.4069
65.0,0.4071
66.0,0.4081
67.0,0.4081
68.0,0.4119
69.0,0.409
70.0,0.4123
71.0,0.4217
72.0,0.4286
73.0,0.4312
74.0,0.4273
75.0,0.432
76.0,0.4304
77.0,0.4351
78.0,0.4346
79.0,0.4453
80.0,0.4465
81.0,0.449
82.0,0.4459
83.0,0.4507
84.0,0.4528
85.0,0.4508
86.0,0.4508
87.0,0.4624
88.0,0.4578
89.0,0.459
90.0,0.4591
91.0,0.4565
92.0,0.4535
93.0,0.4498
94.0,0.4537
95.0,0.4584
96.0,0.4635
97.0,0.4621
98.0,0.4548
99.0,0.4575
100.0,0.4595
101.0,0.4573
102.0,0.4563
103.0,0.4598
104.0,0.455
105.0,0.4591
106.0,0.4548
107.0,0.46
108.0,0.4563
109.0,0.4563
110.0,0.458
111.0,0.4587
112.0,0.4545
113.0,0.4557
114.0,0.4465
115.0,0.4502
116.0,0.4509
117.0,0.4476
118.0,0.4529
119.0,0.4551
120.0,0.4511
121.0,0.4517
122.0,0.452
123.0,0.4492
124.0,0.4496
125.0,0.4477
126.0,0.4489
127.0,0.4541
128.0,0.4522
129.0,0.4581
130.0,0.4585
131.0,0.4581
132.0,0.4593
133.0,0.4677
134.0,0.4672
135.0,0.465
136.0,0.4634
137.0,0.4642
138.0,0.4636
139.0,0.4672
140.0,0.4752
141.0,0.4793
142.0,0.4788
143.0,0.4803
144.0,0.4803
145.0,0.4836
146.0,0.4876
147.0,0.4907
148.0,0.489
149.0,0.4879
150.0,0.4939
151.0,0.495
152.0,0.493
153.0,0.4957
154.0,0.4948
155.0,0.4931
156.0,0.4968
157.0,0.4942
158.0,0.502
159.0,0.5035
160.0,0.4955
161.0,0.4991
162.0,0.4987
163.0,0.5025
164.0,0.5036
165.0,0.5052
166.0,0.511
167.0,0.5134
168.0,0.5177
169.0,0.5139
170.0,0.5124
171.0,0.5142
172.0,0.5205
173.0,0.52
174.0,0.5186
175.0,0.5238
176.0,0.5265
177.0,0.5242
178.0,0.5224
179.0,0.5241
180.0,0.5229
181.0,0.5201
182.0,0.522
183.0,0.5225
184.0,0.5218
185.0,0.5196
186.0,0.5224
187.0,0.5245
188.0,0.5255
189.0,0.5278
190.0,0.5253
191.0,0.5254
192.0,0.5282
193.0,0.5348
194.0,0.5348
195.0,0.5317
196.0,0.5337
197.0,0.5377
198.0,0.5329
199.0,0.5262
200.0,0.5273
201.0,0.5297
202.0,0.5307
203.0,0.5305
204.0,0.5298
