iteration,cos_a
1.0,0.0351
2.0,0.05
3.0,0.0556
4.0,0.0735
5.0,0.0781
6.0,0.0927
7.0,0.0944
8.0,0.1034
9.0,0.109
10.0,0.1145
11.0,0.1209
12.0,0.1276
13.0,0.1319
14.0,0.1349
15.0,0.1374
16.0,0.1427
17.0,0.1457
18.0,0.1462
19.0,0.1511
20.0,0.1555
21.0,0.1579
22.0,0.1636
23.0,0.1684
24.0,0.1714
25.0,0.1791
26.0,0.1836
27.0,0.1845
28.0,0.187
29.0,0.1878
30.0,0.1875
31.0,0.1885
32.0,0.1906
33.0,0.1925
34.0,0.1942
35.0,0.1964
36.0,0.1985
37.0,0.202
38.0,0.2029
39.0,0.204
40.0,0.206
41.0,0.2074
42.0,0.2088
43.0,0.2081
44.0,0.2103
45.0,0.2111
46.0,0.2129
47.0,0.2157
48.0,0.2199
49.0,0.2205
50.0,0.2222
51.0,0.2224
52.0,0.2234
53.0,0.2258
54.0,0.2272
55.0,0.2278
56.0,0.2302
57.0,0.2314
58.0,0.2328
59.0,0.2341
60.0,0.2356
61.0,0.237
62.0,0.2393
63.0,0.2397
64.0,0.2405
65.0,0.2424
66.0,0.2435
67.0,0.2446
68.0,0.246
69.0,0.2492
70.0,0.251
71.0,0.2516
72.0,0.255
73.0,0.2573
74.0,0.2589
75.0,0.2616
76.0,0.2627
77.0,0.2638
78.0,0.2638
79.0,0.2647
80.0,0.2654
81.0,0.2664
82.0,0.2677
83.0,0.2694
84.0,0.2715
85.0,0.2723
86.0,0.2729
87.0,0.2728
88.0,0.2745
89.0,0.2764
90.0,0.2774
91.0,0.2796
92.0,0.2816
93.0,0.2833
94.0,0.2839
95.0,0.2867
96.0,0.2886
97.0,0.2902
98.0,0.2919
99.0,0.2933
100.0,0.2946
101.0,0.2944
102.0,0.2949
103.0,0.2966
104.0,0.2971
105.0,0.2989
106.0,0.2995
107.0,0.3005
108.0,0.3027
109.0,0.3028
110.0,0.304
111.0,0.3053
112.0,0.3073
113.0,0.3106
114.0,0.313
115.0,0.3141
116.0,0.3153
117.0,0.3172
118.0,0.3177
119.0,0.3194
120.0,0.3195
121.0,0.3208
122.0,0.3228
123.0,0.3248
124.0,0.325
125.0,0.3283
126.0,0.329
127.0,0.3294
128.0,0.3308
129.0,0.3326
130.0,0.3337
131.0,0.3361
132.0,0.3371
133.0,0.3393
134.0,0.3404
135.0,0.3409
136.0,0.3421
137.0,0.3421
138.0,0.3441
139.0,0.3455
140.0,0.3458
141.0,0.348
142.0,0.349
143.0,0.3493
144.0,0.3507
145.0,0.3521
146.0,0.3528
147.0,0.354
148.0,0.3542
149.0,0.3549
150.0,0.3555
151.0,0.3559
152.0,0.3568
153.0,0.3577
154.0,0.3578
155.0,0.359
156.0,0.3594
157.0,0.3603
158.0,0.3609
159.0,0.3637
160.0,0.364
161.0,0.3665
162.0,0.3674
163.0,0.3671
164.0,0.3682
165.0,0.368
166.0,0.3689
167.0,0.37
168.0,0.3711
169.0,0.3735
170.0,0.3739
171.0,0.3745
172.0,0.3748
173.0,0.3753
174.0,0.3761
175.0,0.3771
176.0,0.3791
177.0,0.3791
178.0,0.3791
179.0,0.3802
180.0,0.3808
181.0,0.381
182.0,0.3835
183.0,0.3838
184.0,0.3839
185.0,0.3849
186.0,0.386
187.0,0.3871
188.0,0.3886
189.0,0.3895
190.0,0.3909
191.0,0.3914
192.0,0.3915
193.0,0.3923
194.0,0.3926
195.0,0.3933
196.0,0.3936
197.0,0.3941
198.0,0.3952
199.0,0.3979
200.0,0.3989
201.0,0.3992
202.0,0.3998
203.0,0.4006
204.0,0.4014
205.0,0.4018
206.0,0.4034
207.0,0.4031
208.0,0.4046
209.0,0.4052
210.0,0.407
211.0,0.4073
212.0,0.4078
213.0,0.4087
214.0,0.4092
215.0,0.4102
216.0,0.4112
217.0,0.4128
218.0,0.4135
219.0,0.414
220.0,0.4151
221.0,0.4153
222.0,0.4158
223.0,0.4165
224.0,0.4169
225.0,0.4174
226.0,0.4171
227.0,0.4183
228.0,0.4185
229.0,0.4197
230.0,0.4208
231.0,0.4217
232.0,0.4224
233.0,0.4228
234.0,0.4241
235.0,0.425
236.0,0.4251
237.0,0.4255
238.0,0.4258
239.0,0.4262
240.0,0.4264
241.0,0.4271
242.0,0.4277
243.0,0.4284
244.0,0.4292
245.0,0.4302
246.0,0.4311
247.0,0.4313
248.0,0.4319
249.0,0.4327
250.0,0.4335
251.0,0.4339
252.0,0.4346
253.0,0.4349
254.0,0.4356
255.0,0.4373
256.0,0.4379
257.0,0.439
258.0,0.4408
259.0,0.4417
260.0,0.4419
261.0,0.4421
262.0,0.4431
263.0,0.4442
264.0,0.4458
265.0,0.4462
266.0,0.4463
267.0,0.447
268.0,0.448
269.0,0.4481
270.0,0.4487
271.0,0.4494
272.0,0.4507
273.0,0.4511
274.0,0.4511
275.0,0.4519
276.0,0.4531
277.0,0.4541
278.0,0.4541
279.0,0.4548
280.0,0.456
281.0,0.457
282.0,0.457
283.0,0.4583
284.0,0.4594
285.0,0.4605
286.0,0.461
287.0,0.4616
288.0,0.4628
289.0,0.4635
290.0,0.4639
291.0,0.4645
292.0,0.4652
293.0,0.4655
294.0,0.4656
295.0,0.4658
296.0,0.4663
297.0,0.4673
298.0,0.469
299.0,0.4704
300.0,0.4708
301.0,0.4715
302.0,0.4726
303.0,0.4736
304.0,0.4738
305.0,0.4747
306.0,0.4749
307.0,0.4753
308.0,0.4761
309.0,0.4764
310.0,0.477
311.0,0.477
312.0,0.4782
313.0,0.4784
314.0,0.4794
315.0,0.4795
316.0,0.4807
317.0,0.4802
318.0,0.4807
319.0,0.4812
320.0,0.4825
321.0,0.4829
322.0,0.4826
323.0,0.4828
324.0,0.4832
325.0,0.4839
326.0,0.4841
327.0,0.4845
328.0,0.4854
329.0,0.486
330.0,0.487
331.0,0.4872
332.0,0.4872
333.0,0.4877
334.0,0.4881
335.0,0.4885
336.0,0.4903
337.0,0.4908
338.0,0.4913
339.0,0.4918
340.0,0.4928
341.0,0.4927
342.0,0.493
343.0,0.494
344.0,0.4944
345.0,0.4956
346.0,0.4964
347.0,0.4959
348.0,0.4961
349.0,0.4966
350.0,0.4969
351.0,0.4973
352.0,0.4974
353.0,0.4979
354.0,0.4986
355.0,0.4994
356.0,0.5001
357.0,0.5006
358.0,0.5008
359.0,0.5023
360.0,0.5034
361.0,0.5042
362.0,0.5047
363.0,0.5055
364.0,0.5056
365.0,0.5058
366.0,0.5069
367.0,0.5066
368.0,0.507
369.0,0.5078
370.0,0.508
371.0,0.5092
372.0,0.5092
373.0,0.5103
374.0,0.5105
375.0,0.5128
376.0,0.5129
377.0,0.5143
378.0,0.5148
379.0,0.515
380.0,0.5152
381.0,0.5161
382.0,0.5166
383.0,0.5173
384.0,0.5175
385.0,0.5181
386.0,0.5191
387.0,0.5194
388.0,0.5198
389.0,0.5199
390.0,0.5205
391.0,0.521
392.0,0.5216
393.0,0.5224
394.0,0.5237
395.0,0.5241
396.0,0.5239
397.0,0.524
398.0,0.5243
399.0,0.5245
400.0,0.5256
401.0,0.5265
402.0,0.5272
403.0,0.5276
404.0,0.528
405.0,0.5291
406.0,0.5296
407.0,0.531
408.0,0.5315
409.0,0.5317
410.0,0.5325
411.0,0.533
412.0,0.5334
413.0,0.534
414.0,0.5342
415.0,0.5349
416.0,0.5353
417.0,0.5361
418.0,0.5368
419.0,0.5375
420.0,0.5383
421.0,0.5393
422.0,0.5395
423.0,0.5402
424.0,0.5407
425.0,0.5419
426.0,0.5423
427.0,0.5427
428.0,0.543
429.0,0.5436
430.0,0.5439
431.0,0.5445
432.0,0.5449
433.0,0.5461
434.0,0.5463
435.0,0.5463
436.0,0.5456
437.0,0.5457
438.0,0.546
439.0,0.5464
440.0,0.547
441.0,0.5475
442.0,0.5481
443.0,0.5488
444.0,0.5495
445.0,0.5501
446.0,0.5505
447.0,0.5506
448.0,0.5508
449.0,0.5513
450.0,0.5517
451.0,0.5516
452.0,0.5525
453.0,0.5529
454.0,0.5533
455.0,0.5538
456.0,0.5546
457.0,0.5551
458.0,0.5553
459.0,0.5555
460.0,0.5564
461.0,0.5569
462.0,0.5568
463.0,0.5572
464.0,0.5574
465.0,0.5572
466.0,0.5575
467.0,0.5581
468.0,0.5583
469.0,0.5588
470.0,0.5588
471.0,0.5593
472.0,0.5595
473.0,0.5598
474.0,0.561
475.0,0.5617
476.0,0.5622
477.0,0.5624
478.0,0.5626
479.0,0.563
480.0,0.5631
481.0,0.563
482.0,0.5634
483.0,0.5639
484.0,0.5639
485.0,0.5639
486.0,0.5641
487.0,0.5642
488.0,0.5644
489.0,0.5653
490.0,0.5658
491.0,0.5661
492.0,0.567
493.0,0.5675
494.0,0.5676
495.0,0.5682
496.0,0.5685
497.0,0.5693
498.0,0.5696
499.0,0.5695
500.0,0.5699
501.0,0.57
502.0,0.57
503.0,0.5702
