"train_method (WP, NP or backprop)",d (n_ch),n_class,seed,Max Accuracy,num. of iterations to 20% testing accuracy,num. of iterations to 20% training accuracy,num. of iterations to 40% testing accuracy,num. of iterations to 40% training accuracy,num. of iterations to 60% testing accuracy,num. of iterations to 60% training accuracy,num. of iterations to 80% testing accuracy,num. of iterations to 80% training accuracy
weight,1,10,1,0.8242,8500,8100,78900,78500,426400,398500,3589300,3063800
node,1,10,1,0.8394,7600,7400,41700,41600,186900,183800,1314000,1173200
backprop,1,10,1,0.8481,2200,2200,15000,15100,43700,42800,316900,293000
weight,1,10,2,0.8205,81800,82000,129600,129300,364300,364100,2020400,1772300
node,1,10,2,0.8151,47000,46900,73200,74200,205400,205400,1366700,1151800
backprop,1,10,2,0.8499,11900,11800,18800,19000,58300,57500,441800,410200
weight,1,10,3,0.7911,19100,18400,88300,87800,386800,396000,,6362300
node,1,10,3,0.8329,10400,9300,40600,41600,288200,284100,1860500,1495000
backprop,1,10,3,0.8471,2300,2100,11500,11400,60500,59500,731500,602600
weight,1,10,4,0.8325,8500,8300,88500,86400,362100,357300,2979900,2147900
node,1,10,4,0.8361,8600,8500,47100,47100,154100,148900,1519700,1101700
backprop,1,10,4,0.8488,1200,1100,11600,11600,53500,53000,377400,292800
weight,1,10,5,0.8277,34800,35100,128800,130200,555500,521900,2247500,1940600
node,1,10,5,0.8454,18500,18000,61100,60500,94700,91600,1181100,929000
backprop,1,10,5,0.8487,2500,2500,11200,11200,23900,23000,401300,290300
weight,1,10,6,0.8424,18200,18100,80400,77400,252000,252000,2415100,2001500
node,1,10,6,0.8486,11400,11400,40100,40000,102300,101300,1374200,1028300
backprop,1,10,6,0.8565,2500,2500,13400,12800,29900,30300,295600,251700
weight,1,10,7,0.8269,31500,32600,93600,91100,408900,389700,2886000,2635500
node,1,10,7,0.8297,18500,19000,58400,57700,260400,250100,1584200,1419000
backprop,1,10,7,0.8405,4800,5300,15500,15300,69600,67600,362400,321800
weight,1,10,8,0.8345,19900,19900,68200,68200,202600,200200,1331000,1105500
node,1,10,8,0.8484,12000,12500,38900,38900,87800,87900,936000,769700
backprop,1,10,8,0.8528,2700,2700,8900,9200,21300,21100,240400,181300
weight,1,10,9,0.8365,28000,28600,78000,77400,268100,255300,2279500,2010000
node,1,10,9,0.8316,18500,18400,53900,51500,234500,226900,1998900,1592700
backprop,1,10,9,0.8521,3800,4100,10500,10500,28500,27700,468600,393900
weight,1,10,10,0.8242,11800,11100,114600,108300,645800,637400,2504400,1896200
node,1,10,10,0.8342,6500,6200,49100,49100,241700,234800,1869900,1679300
backprop,1,10,10,0.8536,2100,1800,9500,9600,48300,47800,326600,283800
weight,2,10,1,0.8781,9600,9500,47200,46100,191000,196900,1005500,950100
node,2,10,1,0.878,6500,6400,23100,23300,67500,68900,428500,398500
backprop,2,10,1,0.8929,992,981,3700,3600,17900,17900,97200,91200
weight,2,10,2,0.8753,38900,38700,71100,72200,185400,183400,835400,757600
node,2,10,2,0.8825,14200,14100,27800,28300,66300,65600,359700,321200
backprop,2,10,2,0.8969,3100,3200,5400,5400,16600,16600,64100,55900
weight,2,10,3,0.8743,8300,8200,54900,54200,109700,106100,709600,661700
node,2,10,3,0.8841,4400,4500,29800,29300,55900,54500,344700,341300
backprop,2,10,3,0.8947,583,597,4400,4300,9300,9000,57000,51700
weight,2,10,4,0.8649,29000,28800,62500,62700,195700,191700,923600,860000
