iteration,C_train,C_test,train_error,test_error
1.0,2.5158,2.3078,0.9017,0.9021
2.0,2.515,2.3069,0.9021,0.9025
3.0,2.514,2.306,0.9024,0.9026
4.0,2.5131,2.3051,0.9026,0.903
5.0,2.5122,2.3042,0.9028,0.9034
6.0,2.5113,2.3033,0.9032,0.9036
7.0,2.5104,2.3025,0.9032,0.9037
8.0,2.5097,2.3018,0.9026,0.9031
9.0,2.5089,2.301,0.9031,0.9035
10.0,2.5081,2.3002,0.9026,0.9032
11.0,2.5073,2.2993,0.9026,0.9031
12.0,2.5065,2.2986,0.9023,0.903
13.0,2.5057,2.2978,0.902,0.9019
14.0,2.505,2.297,0.9014,0.9021
15.0,2.5043,2.2964,0.9014,0.9018
16.0,2.5036,2.2957,0.9015,0.9018
17.0,2.5027,2.2948,0.9011,0.9015
18.0,2.502,2.2941,0.901,0.9012
19.0,2.5012,2.2933,0.9004,0.9007
20.0,2.5005,2.2927,0.8999,0.9002
21.0,2.4998,2.292,0.8994,0.9
22.0,2.499,2.2912,0.8986,0.8985
23.0,2.4982,2.2904,0.8978,0.8976
24.0,2.4975,2.2897,0.8971,0.8966
25.0,2.4967,2.2889,0.8968,0.8967
26.0,2.4959,2.2881,0.8923,0.8918
27.0,2.4951,2.2874,0.8905,0.8905
28.0,2.4944,2.2866,0.8893,0.8895
29.0,2.4936,2.2859,0.8883,0.8877
30.0,2.493,2.2853,0.8874,0.887
31.0,2.4922,2.2845,0.8848,0.8854
32.0,2.4914,2.2837,0.8788,0.8797
33.0,2.4907,2.283,0.8748,0.8759
34.0,2.4898,2.2821,0.8718,0.8722
35.0,2.4891,2.2814,0.8686,0.8684
36.0,2.4884,2.2807,0.8675,0.8668
37.0,2.4876,2.2798,0.8653,0.8656
38.0,2.4869,2.2792,0.8658,0.8664
39.0,2.4865,2.2788,0.8653,0.8645
40.0,2.4858,2.2781,0.8645,0.8646
41.0,2.485,2.2773,0.8638,0.863
42.0,2.4842,2.2765,0.8645,0.8624
43.0,2.4834,2.2758,0.8645,0.8631
44.0,2.4827,2.275,0.864,0.863
45.0,2.482,2.2743,0.8629,0.8622
46.0,2.4812,2.2735,0.8663,0.8647
47.0,2.4804,2.2728,0.8692,0.867
48.0,2.4797,2.2721,0.8698,0.8669
49.0,2.479,2.2713,0.8709,0.8679
50.0,2.4784,2.2707,0.871,0.8682
51.0,2.4776,2.2699,0.8742,0.8703
52.0,2.4768,2.2692,0.8744,0.8711
53.0,2.4761,2.2685,0.8764,0.8727
54.0,2.4754,2.2678,0.8752,0.8722
55.0,2.4747,2.2671,0.876,0.8723
56.0,2.4741,2.2665,0.8734,0.8707
57.0,2.4734,2.2658,0.8758,0.8727
58.0,2.4727,2.265,0.8778,0.8752
59.0,2.472,2.2643,0.8806,0.8788
60.0,2.4713,2.2637,0.8802,0.8781
61.0,2.4705,2.2629,0.8816,0.8796
62.0,2.4699,2.2623,0.8821,0.8801
63.0,2.4692,2.2616,0.8819,0.8799
64.0,2.4685,2.2609,0.8841,0.8825
65.0,2.4677,2.2601,0.8856,0.8853
