iteration,C_train,C_test,train_error,test_error
1.0,2.5166,2.3092,0.8921,0.8882
2.0,2.5166,2.3091,0.8921,0.8882
3.0,2.5166,2.3091,0.8921,0.8881
4.0,2.5165,2.3091,0.8921,0.8882
5.0,2.5165,2.3091,0.8922,0.8882
6.0,2.5165,2.3091,0.8921,0.8882
7.0,2.5165,2.3091,0.8921,0.8883
8.0,2.5165,2.3091,0.8921,0.8883
9.0,2.5165,2.3091,0.8921,0.8883
10.0,2.5165,2.3091,0.8921,0.8883
11.0,2.5165,2.3091,0.8922,0.8883
12.0,2.5165,2.3091,0.8922,0.8883
13.0,2.5165,2.3091,0.8922,0.8883
14.0,2.5165,2.309,0.8922,0.8883
15.0,2.5165,2.309,0.8922,0.8883
16.0,2.5165,2.309,0.8922,0.8883
17.0,2.5164,2.309,0.8922,0.8882
18.0,2.5164,2.309,0.8921,0.8883
19.0,2.5164,2.309,0.8921,0.8882
20.0,2.5164,2.309,0.8921,0.8882
21.0,2.5164,2.309,0.8921,0.8882
22.0,2.5164,2.309,0.8921,0.8882
23.0,2.5164,2.309,0.8921,0.8882
24.0,2.5164,2.309,0.8921,0.8882
25.0,2.5164,2.309,0.892,0.8882
26.0,2.5164,2.309,0.892,0.8882
27.0,2.5164,2.309,0.892,0.8882
28.0,2.5164,2.309,0.892,0.8881
29.0,2.5164,2.309,0.892,0.8882
30.0,2.5164,2.3089,0.892,0.8882
31.0,2.5164,2.3089,0.892,0.8882
32.0,2.5163,2.3089,0.892,0.8881
33.0,2.5163,2.3089,0.892,0.888
34.0,2.5163,2.3089,0.892,0.888
35.0,2.5163,2.3089,0.8919,0.8878
36.0,2.5163,2.3089,0.8919,0.8878
37.0,2.5163,2.3089,0.892,0.8879
38.0,2.5163,2.3089,0.892,0.8879
39.0,2.5163,2.3089,0.8919,0.8876
40.0,2.5163,2.3089,0.8919,0.8875
41.0,2.5163,2.3089,0.8919,0.8875
42.0,2.5163,2.3089,0.8919,0.8875
43.0,2.5163,2.3089,0.8919,0.8875
44.0,2.5163,2.3089,0.8919,0.8876
45.0,2.5163,2.3089,0.8919,0.8877
46.0,2.5163,2.3088,0.8919,0.8877
47.0,2.5162,2.3088,0.8919,0.8875
48.0,2.5162,2.3088,0.8919,0.8875
49.0,2.5162,2.3088,0.8919,0.8875
50.0,2.5162,2.3088,0.8919,0.8875
51.0,2.5162,2.3088,0.8919,0.8876
52.0,2.5162,2.3088,0.8919,0.8876
53.0,2.5162,2.3088,0.8919,0.8876
54.0,2.5162,2.3088,0.8919,0.8875
55.0,2.5162,2.3088,0.8918,0.8875
56.0,2.5162,2.3088,0.8918,0.8875
57.0,2.5162,2.3088,0.8918,0.8875
58.0,2.5162,2.3088,0.8918,0.8875
59.0,2.5162,2.3088,0.8918,0.8875
60.0,2.5162,2.3088,0.8918,0.8875
61.0,2.5162,2.3088,0.8919,0.8875
62.0,2.5162,2.3087,0.8919,0.8874
63.0,2.5161,2.3087,0.8918,0.8874
64.0,2.5161,2.3087,0.8918,0.8874
65.0,2.5161,2.3087,0.8919,0.8874
66.0,2.5161,2.3087,0.8918,0.8875
67.0,2.5161,2.3087,0.8918,0.8875
68.0,2.5161,2.3087,0.8918,0.8875
69.0,2.5161,2.3087,0.8918,0.8875
70.0,2.5161,2.3087,0.8918,0.8875
71.0,2.5161,2.3087,0.8918,0.8875
72.0,2.5161,2.3087,0.8918,0.8875
73.0,2.5161,2.3087,0.8918,0.8875
74.0,2.5161,2.3087,0.8918,0.8875
75.0,2.5161,2.3087,0.8918,0.8875
76.0,2.5161,2.3086,0.8918,0.8875
77.0,2.516,2.3086,0.8918,0.8875
78.0,2.516,2.3086,0.8918,0.8875
79.0,2.516,2.3086,0.8918,0.8875
80.0,2.516,2.3086,0.8918,0.8875
81.0,2.516,2.3086,0.8918,0.8875
82.0,2.516,2.3086,0.8918,0.8875
83.0,2.516,2.3086,0.8918,0.8875
84.0,2.516,2.3086,0.8918,0.8875
85.0,2.516,2.3086,0.8918,0.8875
86.0,2.516,2.3086,0.8918,0.8875
87.0,2.516,2.3086,0.8918,0.8875
88.0,2.516,2.3086,0.8917,0.8876
89.0,2.516,2.3086,0.8917,0.8876
90.0,2.516,2.3086,0.8917,0.8875
91.0,2.516,2.3086,0.8917,0.8875
92.0,2.516,2.3086,0.8917,0.8875
93.0,2.516,2.3086,0.8917,0.8875
94.0,2.5159,2.3085,0.8917,0.8874
95.0,2.5159,2.3085,0.8917,0.8874
96.0,2.5159,2.3085,0.8917,0.8874
97.0,2.5159,2.3085,0.8917,0.8874
98.0,2.5159,2.3085,0.8917,0.8874
99.0,2.5159,2.3085,0.8917,0.8873
100.0,2.5159,2.3085,0.8917,0.8873
101.0,2.5159,2.3085,0.8916,0.8871
102.0,2.5159,2.3085,0.8916,0.8871
103.0,2.5159,2.3085,0.8916,0.8873
104.0,2.5159,2.3085,0.8916,0.8872
105.0,2.5159,2.3085,0.8916,0.8871
106.0,2.5159,2.3085,0.8916,0.8871
107.0,2.5159,2.3085,0.8916,0.887
108.0,2.5158,2.3084,0.8916,0.8871
109.0,2.5158,2.3084,0.8916,0.887
110.0,2.5158,2.3084,0.8916,0.8873
111.0,2.5158,2.3084,0.8916,0.8873
112.0,2.5158,2.3084,0.8916,0.8871
113.0,2.5158,2.3084,0.8916,0.8871
114.0,2.5158,2.3084,0.8916,0.8873
115.0,2.5158,2.3084,0.8916,0.8871
116.0,2.5158,2.3084,0.8917,0.8873
117.0,2.5158,2.3084,0.8916,0.8872
118.0,2.5158,2.3084,0.8916,0.8873
119.0,2.5158,2.3084,0.8916,0.8873
120.0,2.5158,2.3084,0.8916,0.8873
121.0,2.5158,2.3084,0.8916,0.8873
122.0,2.5158,2.3084,0.8916,0.8872
123.0,2.5157,2.3083,0.8916,0.8872
124.0,2.5157,2.3083,0.8916,0.8871
125.0,2.5157,2.3083,0.8916,0.8871
126.0,2.5157,2.3083,0.8916,0.887
127.0,2.5157,2.3083,0.8915,0.887
128.0,2.5157,2.3083,0.8915,0.887
129.0,2.5157,2.3083,0.8915,0.887
130.0,2.5157,2.3083,0.8915,0.887
131.0,2.5157,2.3083,0.8914,0.887
132.0,2.5157,2.3083,0.8914,0.887
133.0,2.5157,2.3083,0.8915,0.887
134.0,2.5157,2.3083,0.8915,0.887
135.0,2.5157,2.3083,0.8915,0.887
136.0,2.5157,2.3083,0.8915,0.887
137.0,2.5157,2.3083,0.8915,0.887
138.0,2.5157,2.3083,0.8914,0.887
139.0,2.5157,2.3083,0.8915,0.887
140.0,2.5156,2.3083,0.8914,0.887
141.0,2.5156,2.3082,0.8914,0.887
142.0,2.5156,2.3082,0.8914,0.887
143.0,2.5156,2.3082,0.8915,0.887
144.0,2.5156,2.3082,0.8915,0.887
145.0,2.5156,2.3082,0.8914,0.887
146.0,2.5156,2.3082,0.8914,0.887
147.0,2.5156,2.3082,0.8914,0.887
148.0,2.5156,2.3082,0.8914,0.887
149.0,2.5156,2.3082,0.8914,0.8871
150.0,2.5156,2.3082,0.8914,0.8871
151.0,2.5156,2.3082,0.8913,0.8871
152.0,2.5156,2.3082,0.8914,0.8873
153.0,2.5156,2.3082,0.8913,0.8873
154.0,2.5156,2.3082,0.8913,0.8871
155.0,2.5156,2.3082,0.8913,0.8871
156.0,2.5156,2.3082,0.8913,0.8871
157.0,2.5156,2.3082,0.8913,0.8871
158.0,2.5155,2.3082,0.8912,0.8871
159.0,2.5155,2.3081,0.8913,0.8871
160.0,2.5155,2.3081,0.8913,0.8872
161.0,2.5155,2.3081,0.8913,0.8871
162.0,2.5155,2.3081,0.8913,0.8872
163.0,2.5155,2.3081,0.8913,0.8872
164.0,2.5155,2.3081,0.8912,0.8871
165.0,2.5155,2.3081,0.8912,0.8871
166.0,2.5155,2.3081,0.8912,0.887
167.0,2.5155,2.3081,0.8912,0.887
168.0,2.5155,2.3081,0.8912,0.8871
169.0,2.5155,2.3081,0.8912,0.8871
170.0,2.5155,2.3081,0.8912,0.8871
171.0,2.5155,2.3081,0.8912,0.8871
172.0,2.5154,2.3081,0.8912,0.8871
173.0,2.5154,2.308,0.8912,0.8871
174.0,2.5154,2.308,0.8912,0.8871
175.0,2.5154,2.308,0.8912,0.8871
176.0,2.5154,2.308,0.8912,0.8871
177.0,2.5154,2.308,0.8911,0.8871
178.0,2.5154,2.308,0.8912,0.8871
179.0,2.5154,2.308,0.8912,0.8871
180.0,2.5154,2.308,0.8912,0.8871
181.0,2.5154,2.308,0.8911,0.8871
182.0,2.5154,2.308,0.8911,0.8871
183.0,2.5154,2.308,0.8911,0.887
184.0,2.5154,2.308,0.8911,0.887
185.0,2.5153,2.308,0.891,0.887
186.0,2.5153,2.3079,0.8911,0.887
187.0,2.5153,2.3079,0.891,0.887
188.0,2.5153,2.3079,0.891,0.887
189.0,2.5153,2.3079,0.891,0.887
190.0,2.5153,2.3079,0.891,0.887
191.0,2.5153,2.3079,0.891,0.887
192.0,2.5153,2.3079,0.891,0.887
193.0,2.5153,2.3079,0.891,0.887
194.0,2.5153,2.3079,0.891,0.887
195.0,2.5153,2.3079,0.891,0.887
196.0,2.5153,2.3079,0.891,0.887
197.0,2.5153,2.3079,0.891,0.887
198.0,2.5153,2.3079,0.8911,0.887
199.0,2.5153,2.3079,0.891,0.887
200.0,2.5153,2.3079,0.891,0.887
201.0,2.5153,2.3079,0.891,0.887
202.0,2.5152,2.3079,0.891,0.8869
203.0,2.5152,2.3079,0.891,0.8869
204.0,2.5152,2.3078,0.891,0.8869
205.0,2.5152,2.3078,0.8909,0.8869
206.0,2.5152,2.3078,0.8909,0.8869
207.0,2.5152,2.3078,0.891,0.8869
208.0,2.5152,2.3078,0.8909,0.8869
209.0,2.5152,2.3078,0.8909,0.8869
210.0,2.5152,2.3078,0.8909,0.8869
211.0,2.5152,2.3078,0.8909,0.8869
212.0,2.5152,2.3078,0.8909,0.8869
213.0,2.5152,2.3078,0.8909,0.8869
214.0,2.5152,2.3078,0.8909,0.8869
215.0,2.5152,2.3078,0.8909,0.8869
216.0,2.5152,2.3078,0.8909,0.8869
217.0,2.5152,2.3078,0.8909,0.8869
218.0,2.5151,2.3078,0.8909,0.8868
219.0,2.5151,2.3077,0.8909,0.8868
220.0,2.5151,2.3077,0.8908,0.8868
221.0,2.5151,2.3077,0.8908,0.8868
222.0,2.5151,2.3077,0.8909,0.8868
223.0,2.5151,2.3077,0.8909,0.8868
224.0,2.5151,2.3077,0.8909,0.8868
225.0,2.5151,2.3077,0.8909,0.8868
226.0,2.5151,2.3077,0.8909,0.8868
227.0,2.5151,2.3077,0.8909,0.8868
228.0,2.5151,2.3077,0.8909,0.8868
229.0,2.515,2.3076,0.8909,0.8868
230.0,2.515,2.3076,0.8909,0.8868
231.0,2.515,2.3076,0.8909,0.8868
232.0,2.515,2.3076,0.8908,0.8868
233.0,2.515,2.3076,0.8908,0.8867
234.0,2.515,2.3076,0.8908,0.8868
235.0,2.515,2.3076,0.8908,0.8868
236.0,2.515,2.3076,0.8908,0.8868
237.0,2.515,2.3076,0.8908,0.8868
238.0,2.515,2.3076,0.8908,0.8868
239.0,2.515,2.3076,0.8908,0.8868
240.0,2.515,2.3076,0.8908,0.8868
241.0,2.515,2.3076,0.8908,0.8868
242.0,2.515,2.3076,0.8908,0.8868
243.0,2.515,2.3076,0.8908,0.8868
244.0,2.515,2.3076,0.8908,0.8867
245.0,2.515,2.3076,0.8907,0.8867
246.0,2.5149,2.3076,0.8907,0.8866
247.0,2.5149,2.3076,0.8907,0.8866
248.0,2.5149,2.3076,0.8907,0.8866
249.0,2.5149,2.3075,0.8907,0.8866
250.0,2.5149,2.3075,0.8906,0.8866
251.0,2.5149,2.3075,0.8907,0.8866
252.0,2.5149,2.3075,0.8906,0.8866
253.0,2.5149,2.3075,0.8906,0.8866
254.0,2.5149,2.3075,0.8906,0.8866
255.0,2.5149,2.3075,0.8906,0.8866
256.0,2.5149,2.3075,0.8906,0.8866
257.0,2.5149,2.3075,0.8906,0.8866
258.0,2.5149,2.3075,0.8906,0.8866
259.0,2.5149,2.3075,0.8906,0.8865
260.0,2.5149,2.3075,0.8906,0.8863
261.0,2.5149,2.3075,0.8906,0.8863
262.0,2.5149,2.3075,0.8906,0.8863
263.0,2.5149,2.3075,0.8906,0.8863
264.0,2.5149,2.3075,0.8906,0.8863
265.0,2.5149,2.3075,0.8905,0.8862
266.0,2.5149,2.3075,0.8905,0.8862
267.0,2.5149,2.3075,0.8905,0.8862
268.0,2.5148,2.3075,0.8905,0.8862
269.0,2.5148,2.3075,0.8905,0.8862
270.0,2.5148,2.3075,0.8905,0.8863
271.0,2.5148,2.3074,0.8905,0.8863
272.0,2.5148,2.3074,0.8905,0.8862
273.0,2.5148,2.3074,0.8905,0.8862
274.0,2.5148,2.3074,0.8905,0.8863
275.0,2.5148,2.3074,0.8905,0.8862
276.0,2.5148,2.3074,0.8904,0.8862
277.0,2.5148,2.3074,0.8905,0.8862
278.0,2.5148,2.3074,0.8905,0.8862
279.0,2.5148,2.3074,0.8905,0.8862
280.0,2.5148,2.3074,0.8905,0.8862
281.0,2.5148,2.3074,0.8904,0.8862
282.0,2.5148,2.3074,0.8904,0.8862
283.0,2.5148,2.3074,0.8904,0.8861
284.0,2.5148,2.3074,0.8904,0.8861
285.0,2.5147,2.3074,0.8904,0.8861
286.0,2.5147,2.3074,0.8904,0.8861
287.0,2.5147,2.3074,0.8904,0.8861
288.0,2.5147,2.3073,0.8904,0.8861
289.0,2.5147,2.3073,0.8904,0.8861
290.0,2.5147,2.3073,0.8904,0.8862
291.0,2.5147,2.3073,0.8904,0.8862
292.0,2.5147,2.3073,0.8904,0.8862
293.0,2.5147,2.3073,0.8904,0.8862
294.0,2.5147,2.3073,0.8904,0.8862
295.0,2.5147,2.3073,0.8904,0.8862
296.0,2.5147,2.3073,0.8903,0.8862
297.0,2.5146,2.3073,0.8904,0.8862
