"train_method (WP, NP or backprop)",d (n_ch),n_class,Gradient integration time tau_theta,Max Accuracy,num. of iterations to 20% testing accuracy,num. of iterations to 20% training accuracy,num. of iterations to 40% testing accuracy,num. of iterations to 40% training accuracy,num. of iterations to 60% testing accuracy,num. of iterations to 60% training accuracy,num. of iterations to 80% testing accuracy,num. of iterations to 80% training accuracy
weight,24,10,1,0.8875,2400,2400,3700,3700,7200,7200,87100,77000
weight,24,10,2,0.8918,2900,2900,4500,4500,11500,11700,124500,108900
weight,24,10,3,0.8957,3300,3300,5700,5700,12400,12400,157500,139300
weight,24,10,5,0.8997,4100,4100,7300,7300,15200,15400,202400,173200
weight,24,10,10,0.9055,5500,5600,9000,9000,21700,22900,282200,244400
weight,24,10,20,0.9013,6600,6700,12100,12300,31300,31400,389300,345800
weight,24,10,30,0.9028,9100,9200,15900,16000,39400,40200,489100,416100
weight,24,10,50,0.8979,10400,10500,19400,19400,49900,50900,641600,562100
weight,24,10,100,0.8917,14500,14600,28100,28100,69400,70200,901000,791500
weight,24,10,200,0.8689,17500,17700,42100,42100,106500,106500,1293700,1127100
weight,24,10,300,0.8619,24700,25000,52300,52300,124300,124000,1627600,1437400
weight,24,10,500,0.8459,30100,30100,74600,74600,164100,163100,2168100,1919100
weight,24,10,1000,0.8201,45100,45100,93100,93100,250100,250100,3446100,2914100
weight,24,10,2000,0.807,66100,66100,152100,152100,398100,392100,5176100,4436100
weight,24,10,3000,0.7906,108100,108100,195100,195100,627100,627100,,
weight,24,10,5000,0.7698,145100,150100,235100,235100,825100,830100,,
weight,24,10,10000,0.7272,120100,130100,390100,390100,1170100,1170100,,
weight,24,10,20000,0.6904,480100,480100,740100,740100,2130100,2090100,,
weight,24,10,30000,0.66,600100,600100,1250100,1250100,2960100,2930100,,
weight,24,10,50000,0.5865,700100,700100,1690100,1690100,,,,
weight,24,10,100000,0.5264,1100100,1100100,2890100,2890100,,,,
