"train_method (WP, NP or backprop)",d (n_ch),n_class,learning rate eta,optimizer,Max Accuracy,num. of updates to 20% testing accuracy,num. of updates to 20% training accuracy,num. of updates to 40% testing accuracy,num. of updates to 40% training accuracy,num. of updates to 60% testing accuracy,num. of updates to 60% training accuracy,num. of updates to 80% testing accuracy,num. of updates to 80% training accuracy
weight,24,10,1,None,0.1877,,,,,,,,
weight,24,10,0.9,None,0.6092,2,2,34,34,108,108,,
weight,24,10,0.8,None,0.7633,3,3,20,20,111,99,,
weight,24,10,0.7,None,0.8426,3,3,17,17,55,54,185,185
weight,24,10,0.6,None,0.8703,2,2,4,4,18,18,143,111
weight,24,10,0.5,None,0.8849,2,2,6,6,25,25,127,114
weight,24,10,0.4,None,0.8904,2,2,7,7,20,20,138,123
weight,24,10,0.3,None,0.8960,3,3,7,7,20,20,180,153
weight,24,10,0.2,None,0.9014,4,4,13,13,20,18,197,176
weight,24,10,0.1,None,0.8980,5,5,14,14,31,31,372,349
weight,24,10,0.09,None,0.9054,6,6,19,19,36,36,409,349
weight,24,10,0.08,None,0.9084,6,6,15,15,35,35,457,396
weight,24,10,0.07,None,0.9047,10,10,19,19,38,38,522,433
weight,24,10,0.06,None,0.9053,11,11,14,15,51,51,557,478
weight,24,10,0.05,None,0.8918,11,11,23,23,53,53,704,601
weight,24,10,0.04,None,0.8956,12,12,28,28,70,71,863,749
weight,24,10,0.03,None,0.8921,21,21,37,37,84,84,1123,974
weight,24,10,0.02,None,0.8842,24,24,67,67,129,136,1673,1441
weight,24,10,0.01,None,0.8611,48,48,129,129,258,254,3378,2930
weight,24,10,0.009,None,0.8324,65,65,116,116,310,311,3754,3146
weight,24,10,0.008,None,0.8253,67,68,130,130,331,331,4224,3585
weight,24,10,0.007,None,0.8444,61,61,167,167,377,377,4742,4175
weight,24,10,0.006,None,0.8354,77,77,141,146,433,434,5638,4862
weight,24,10,0.005,None,0.8253,94,96,216,213,507,507,6743,5817
weight,24,10,0.004,None,0.6816,110,111,265,264,686,689,,
weight,24,10,0.003,None,0.6652,165,176,333,333,866,900,,
weight,24,10,0.002,None,0.5469,241,252,500,499,,,,
weight,24,10,0.001,None,0.5318,475,487,1019,1016,,,,
weight,24,10,0.0009,None,0.6893,531,541,1129,1111,2899,2916,,
weight,24,10,0.0008,None,0.6802,568,574,1215,1203,3203,3251,,
weight,24,10,0.0007,None,0.3616,675,689,,,,,,
weight,24,10,0.0006,None,0.2920,771,771,,,,,,
weight,24,10,0.0005,None,0.2467,909,926,,,,,,
weight,24,10,0.0002,None,0.1275,,,,,,,,
weight,24,10,0.0001,None,0.0836,,,,,,,,
weight,24,10,1,adam,0.1685,,,,,,,,
weight,24,10,0.9,adam,0.1545,,,,,,,,
weight,24,10,0.8,adam,0.1551,,,,,,,,
weight,24,10,0.7,adam,0.1655,,,,,,,,
weight,24,10,0.6,adam,0.1301,,,,,,,,
weight,24,10,0.5,adam,0.1343,,,,,,,,
weight,24,10,0.4,adam,0.1863,,,,,,,,
weight,24,10,0.3,adam,0.1246,,,,,,,,
weight,24,10,0.2,adam,0.1378,,,,,,,,
weight,24,10,0.1,adam,0.1323,,,,,,,,
weight,24,10,0.09,adam,0.1953,,,,,,,,
weight,24,10,0.08,adam,0.1474,,,,,,,,
weight,24,10,0.07,adam,0.1307,,,,,,,,
weight,24,10,0.06,adam,0.1680,,,,,,,,
weight,24,10,0.05,adam,0.1489,,,,,,,,
weight,24,10,0.04,adam,0.1469,,,,,,,,
weight,24,10,0.03,adam,0.1344,,,,,,,,
weight,24,10,0.02,adam,0.1904,,,,,,,,
weight,24,10,0.01,adam,0.5517,8,8,9,9,,,,
weight,24,10,0.009,adam,0.2000,,,,,,,,
weight,24,10,0.008,adam,0.6685,7,7,9,9,238,238,,
weight,24,10,0.007,adam,0.6924,4,4,11,11,99,98,,
weight,24,10,0.006,adam,0.7160,7,7,8,8,35,35,,
weight,24,10,0.005,adam,0.7477,4,4,9,9,15,15,,
weight,24,10,0.004,adam,0.7784,5,5,9,9,14,14,,
weight,24,10,0.003,adam,0.8100,5,5,7,7,16,16,554,435
weight,24,10,0.002,adam,0.8503,3,3,6,6,11,11,157,150
weight,24,10,0.001,adam,0.8832,3,3,5,5,11,11,80,79
weight,24,10,0.0009,adam,0.9001,4,4,5,5,14,14,107,83
weight,24,10,0.0008,adam,0.8821,3,3,5,5,10,10,106,71
weight,24,10,0.0007,adam,0.8802,4,4,5,5,11,11,95,74
weight,24,10,0.0006,adam,0.8782,2,2,4,4,14,14,108,98
weight,24,10,0.0005,adam,0.8730,5,5,6,6,15,15,143,95
weight,24,10,0.0002,adam,0.8548,8,8,12,12,23,23,302,236
weight,24,10,0.0001,adam,0.8250,8,9,20,20,43,29,715,565
